time,product_id,open,high,low,close,volume
2026-04-15 10:00:00+00:00,ETH-USD,2320.35,2329.2,2312.37,2317.34,3802.14433402
2026-04-15 11:00:00+00:00,ETH-USD,2317.35,2342.0,2317.15,2338.22,5107.15911099
2026-04-15 12:00:00+00:00,ETH-USD,2338.21,2341.13,2330.46,2333.7,4149.58589889
2026-04-15 13:00:00+00:00,ETH-USD,2333.62,2335.41,2317.61,2327.46,9033.82149978
2026-04-15 14:00:00+00:00,ETH-USD,2327.46,2346.16,2322.37,2339.28,8125.69010301
2026-04-15 15:00:00+00:00,ETH-USD,2339.46,2350.59,2321.19,2332.63,9055.06236465
2026-04-15 16:00:00+00:00,ETH-USD,2332.63,2350.44,2329.68,2341.77,8657.32786016
2026-04-15 17:00:00+00:00,ETH-USD,2341.8,2359.12,2340.02,2349.64,9650.79799681
2026-04-15 18:00:00+00:00,ETH-USD,2349.54,2361.19,2346.93,2359.35,7657.41817097
2026-04-15 19:00:00+00:00,ETH-USD,2359.31,2387.08,2358.11,2376.32,18946.74642008
2026-04-15 20:00:00+00:00,ETH-USD,2376.15,2377.71,2354.35,2363.67,5452.48598689
2026-04-15 21:00:00+00:00,ETH-USD,2363.71,2364.5,2348.94,2361.53,3273.19539217
2026-04-15 22:00:00+00:00,ETH-USD,2361.52,2381.4,2360.53,2364.56,4525.15688177
2026-04-15 23:00:00+00:00,ETH-USD,2364.3,2364.47,2350.02,2360.6,3022.06339961
2026-04-16 00:00:00+00:00,ETH-USD,2360.64,2364.21,2349.14,2361.15,3187.2254661
2026-04-16 01:00:00+00:00,ETH-USD,2361.04,2361.04,2345.51,2352.43,3200.26311777
2026-04-16 02:00:00+00:00,ETH-USD,2352.53,2370.34,2350.86,2357.4,3268.5637945
2026-04-16 03:00:00+00:00,ETH-USD,2357.39,2366.72,2356.42,2358.36,2069.17686538
2026-04-16 04:00:00+00:00,ETH-USD,2358.28,2364.66,2349.01,2354.78,2127.28322493
2026-04-16 05:00:00+00:00,ETH-USD,2354.77,2362.87,2350.64,2358.0,5047.76705694
2026-04-16 06:00:00+00:00,ETH-USD,2358.0,2361.42,2350.45,2356.66,2152.30047392
2026-04-16 07:00:00+00:00,ETH-USD,2356.65,2358.0,2335.32,2341.81,3335.90082746
2026-04-16 08:00:00+00:00,ETH-USD,2341.8,2346.29,2334.64,2339.45,6186.31257958
2026-04-16 09:00:00+00:00,ETH-USD,2339.44,2349.33,2337.49,2338.6,3878.87732802
2026-04-16 10:00:00+00:00,ETH-USD,2338.42,2340.8,2328.39,2332.2,5196.10508215
2026-04-16 11:00:00+00:00,ETH-USD,2332.3,2336.89,2329.6,2336.29,3531.45788207
2026-04-16 12:00:00+00:00,ETH-USD,2336.23,2348.6,2335.04,2340.9,6369.76875223
2026-04-16 13:00:00+00:00,ETH-USD,2340.98,2352.46,2292.1,2308.02,16511.025635
2026-04-16 14:00:00+00:00,ETH-USD,2308.11,2318.0,2285.32,2310.61,19373.52643555
2026-04-16 15:00:00+00:00,ETH-USD,2310.45,2349.72,2308.8,2339.71,14530.26481175
2026-04-16 16:00:00+00:00,ETH-USD,2339.71,2349.84,2309.72,2316.83,12082.94299257
2026-04-16 17:00:00+00:00,ETH-USD,2316.83,2329.89,2309.75,2325.57,10678.37883349
2026-04-16 18:00:00+00:00,ETH-USD,2325.73,2348.39,2320.02,2344.25,10618.46260915
2026-04-16 19:00:00+00:00,ETH-USD,2344.3,2362.96,2335.4,2360.5,9780.80872788
2026-04-16 20:00:00+00:00,ETH-USD,2360.59,2365.49,2341.65,2350.5,5756.05062702
2026-04-16 21:00:00+00:00,ETH-USD,2350.49,2357.64,2336.88,2341.81,2306.46898084
2026-04-16 22:00:00+00:00,ETH-USD,2341.81,2351.34,2339.61,2342.97,2724.18407383
2026-04-16 23:00:00+00:00,ETH-USD,2342.97,2355.53,2341.81,2348.61,2410.9293101
2026-04-17 00:00:00+00:00,ETH-USD,2348.61,2351.67,2339.35,2344.99,2589.65473654
2026-04-17 01:00:00+00:00,ETH-USD,2345.1,2349.87,2327.56,2335.88,4763.44317006
2026-04-17 02:00:00+00:00,ETH-USD,2335.85,2339.47,2325.4,2332.69,2914.6188124
2026-04-17 03:00:00+00:00,ETH-USD,2332.7,2332.77,2324.13,2325.77,2456.92123898
2026-04-17 04:00:00+00:00,ETH-USD,2325.87,2334.7,2324.3,2329.6,2424.23759352
