time,product_id,open,high,low,close,volume
2026-04-14 14:00:00+00:00,XRP-USD,1.3939,1.3966,1.3726,1.3726,9978997.382739
2026-04-14 15:00:00+00:00,XRP-USD,1.3727,1.38,1.3679,1.375,3923732.105799
2026-04-14 16:00:00+00:00,XRP-USD,1.3751,1.3818,1.3666,1.3691,3541847.550365
2026-04-14 17:00:00+00:00,XRP-USD,1.369,1.3752,1.3659,1.3694,3542946.750722
2026-04-14 18:00:00+00:00,XRP-USD,1.3695,1.371,1.3526,1.3552,4043536.988908
2026-04-14 19:00:00+00:00,XRP-USD,1.355,1.3617,1.3532,1.3613,5288528.145596
2026-04-14 20:00:00+00:00,XRP-USD,1.3614,1.3624,1.3558,1.3576,1910947.978706
2026-04-14 21:00:00+00:00,XRP-USD,1.3576,1.3627,1.3566,1.3608,2346556.990683
2026-04-14 22:00:00+00:00,XRP-USD,1.3607,1.366,1.356,1.3591,4889503.178464
2026-04-14 23:00:00+00:00,XRP-USD,1.3591,1.3666,1.3579,1.3625,1860947.627662
2026-04-15 00:00:00+00:00,XRP-USD,1.3623,1.3674,1.3583,1.3628,3673967.798297
2026-04-15 01:00:00+00:00,XRP-USD,1.3626,1.3657,1.3597,1.363,2288653.096037
2026-04-15 02:00:00+00:00,XRP-USD,1.3631,1.3648,1.3558,1.3578,1313826.734452
2026-04-15 03:00:00+00:00,XRP-USD,1.3579,1.3589,1.3564,1.3584,860593.285893
2026-04-15 04:00:00+00:00,XRP-USD,1.3583,1.361,1.3579,1.3596,780866.48289
2026-04-15 05:00:00+00:00,XRP-USD,1.3596,1.3621,1.3558,1.3594,1253785.931546
2026-04-15 06:00:00+00:00,XRP-USD,1.3593,1.3595,1.3551,1.3561,1132842.357492
2026-04-15 07:00:00+00:00,XRP-USD,1.3561,1.3572,1.3509,1.3525,3109149.207111
2026-04-15 08:00:00+00:00,XRP-USD,1.3524,1.3578,1.3514,1.3562,1402744.623838
2026-04-15 09:00:00+00:00,XRP-USD,1.3562,1.3568,1.3514,1.3528,887400.699076
2026-04-15 10:00:00+00:00,XRP-USD,1.353,1.3598,1.3522,1.3567,978682.713357
2026-04-15 11:00:00+00:00,XRP-USD,1.3568,1.3651,1.3566,1.3642,1255248.863913
2026-04-15 12:00:00+00:00,XRP-USD,1.3642,1.3695,1.3617,1.3658,2230010.748144
2026-04-15 13:00:00+00:00,XRP-USD,1.3659,1.3689,1.3617,1.3676,3102105.987667
2026-04-15 14:00:00+00:00,XRP-USD,1.3676,1.3799,1.3645,1.3768,7337404.28008
2026-04-15 15:00:00+00:00,XRP-USD,1.3769,1.3839,1.3724,1.3735,5231001.906694
2026-04-15 16:00:00+00:00,XRP-USD,1.3735,1.3827,1.372,1.3786,4048189.4878
2026-04-15 17:00:00+00:00,XRP-USD,1.3786,1.3842,1.3759,1.3804,2582406.062095
